title,subhead,article URL,premium,byline,article type,image URL
,"Flying the flag for environmental action, as he did at the United Nations Ocean Conference in Nice, the French president has grown frustrated as his legacy is picked apart by the right and far right, as well as some of his own supporters.",https://www.lemonde.fr/en/environment/article/2025/06/11/environmental-transition-the-two-faces-of-emmanuel-macron_6742252_114.html,Premium,N/A,N/A,https://img.lemde.fr/2025/06/11/0/0/8256/5504/400/266/75/0/64dda24_sirius-fs-upload-1-o2z7pgbpwop7-1749622108697-dsc-7257.jpg
"Brian Wilson, one of pop music's great visionaries, has died",N/A,https://www.lemonde.fr/en/culture/article/2025/06/11/brian-wilson-one-of-pop-music-s-great-visionaries-has-died_6742257_30.html,Premium,N/A,N/A,N/A
Harvey Weinstein found guilty of sexual assault in New York,N/A,https://www.lemonde.fr/en/international/article/2025/06/11/harvey-weinstein-found-guilty-of-sexual-assault_6742258_4.html,not Premium,N/A,N/A,N/A
Gavin Newsom delivers scathing criticism of Trump: 'Democracy is under assault right before our eyes',"As the mayor of Los Angeles imposed a curfew after several days of protests against federal immigration policy, the Democratic governor addressed Californians in a statesmanlike tone.",https://www.lemonde.fr/en/international/article/2025/06/11/gavin-newsom-delivers-scathing-criticism-of-trump-democracy-is-under-assault-right-before-our-eyes_6742243_4.html,Premium,N/A,N/A,N/A
Colombia gripped by waves of violence,"A series of attacks has plunged two southwestern regions of the country into mourning, leaving at least eight dead on Wednesday. No group has claimed responsibility, but authorities suspect the armed group Estado Mayor Central.",https://www.lemonde.fr/en/international/article/2025/06/11/colombia-gripped-by-waves-of-violence_6742259_4.html,Premium,N/A,N/A,N/A
"Trump touts 'done' deal with Beijing on rare earths, Chinese students","Donald Trump said on Wednesday that the US and China had agreed on a deal to preserve a trade war truce, with Beijing to supply rare earth minerals, and the US to allow Chinese students to attend its colleges.",https://www.lemonde.fr/en/economy/article/2025/06/11/trump-touts-done-deal-with-beijing-on-rare-earths-chinese-students_6742245_19.html,not Premium,N/A,N/A,N/A
"The life and death of Julie, 21, swept up in the spiral of social media","Julie Pospieszny's tragic fate was that of a young woman of her generation, born into the age of social media and a victim of the violence it can unleash. Caught in the spiral of easy money and addicted to laughing gas, the influencer died in March. She was 21 years old.",https://www.lemonde.fr/en/m-le-mag/article/2025/06/11/the-life-and-death-of-julie-21-swept-up-in-the-spiral-of-social-media_6742255_117.html,Premium,Yann Bouchez,Investigation,N/A
Starmer condemns second night of rioting in Northern Ireland town,N/A,https://www.lemonde.fr/en/united-kingdom/article/2025/06/11/starmer-condemns-second-night-of-rioting-in-northern-ireland-town_6742240_135.html,not Premium,N/A,N/A,N/A
"On trial for 2023 coup attempt, Brazil's Bolsonaro admits he tried to hold on to power",N/A,https://www.lemonde.fr/en/international/article/2025/06/11/on-trial-for-2023-coup-attempt-brazil-s-bolsonaro-admits-he-tried-to-hold-on-to-power_6742241_4.html,Premium,N/A,N/A,N/A
French Tesla customers sue over brand becoming 'extreme right',N/A,https://www.lemonde.fr/en/france/article/2025/06/11/french-tesla-customers-sue-over-brand-becoming-extreme-right_6742249_7.html,not Premium,N/A,N/A,N/A
"EU, Britain strike deal on Gibraltar's post-Brexit status",N/A,https://www.lemonde.fr/en/europe/article/2025/06/11/eu-britain-strike-deal-on-gibraltar-s-post-brexit-status_6742250_143.html,not Premium,N/A,N/A,N/A
Paris tech fair opens with AI and trade war in the spotlight,N/A,https://www.lemonde.fr/en/france/article/2025/06/11/paris-tech-fair-opens-with-ai-and-trade-war-in-the-spotlight_6742233_7.html,not Premium,N/A,N/A,N/A
UK government injects health service with 'record' spending boost,N/A,https://www.lemonde.fr/en/united-kingdom/article/2025/06/11/uk-government-injects-health-service-with-record-spending-boost_6742251_135.html,not Premium,N/A,N/A,N/A
'Not here to judge': Macron defends former minister now lobbying for Shein,N/A,https://www.lemonde.fr/en/politics/article/2025/06/11/macron-defends-former-minister-now-lobbying-for-shein_6742246_5.html,Premium,N/A,N/A,N/A
In bed and on the job: How to stay productive while lying down,N/A,https://www.lemonde.fr/en/our-times/article/2025/06/11/in-bed-and-on-the-job-how-to-stay-productive-while-lying-down_6742236_39.html,not Premium,N/A,N/A,N/A
Fast fashion undermines France's historic secondhand sector,N/A,https://www.lemonde.fr/en/economy/article/2025/06/11/fast-fashion-undermines-france-s-historic-secondhand-sector_6742222_19.html,Premium,N/A,N/A,N/A
"At least 49 killed in South African flooding, children missing",N/A,https://www.lemonde.fr/en/natural-disasters/article/2025/06/11/at-least-49-killed-in-south-african-flooding-children-missing_6742248_225.html,not Premium,N/A,N/A,N/A
The Chinese Communist Party's endless push for sobriety,N/A,https://www.lemonde.fr/en/international/article/2025/06/11/the-chinese-communist-party-s-endless-push-for-austerity_6742224_4.html,Premium,N/A,N/A,N/A
Gisèle Pelicot reaches settlement with magazine over invasion of privacy,N/A,https://www.lemonde.fr/en/france/article/2025/06/11/gisele-pelicot-reaches-settlement-with-magazine-over-invasion-of-privacy_6742237_7.html,not Premium,N/A,N/A,N/A
'Monacogate': Prince Albert II's former trusted adviser tells police everything,"Claude Palmero, a former administrator of the principality's assets who was dismissed in spring 2023 and is now under investigation, has made a series of revelations about the princely family.",https://www.lemonde.fr/en/france/article/2025/06/10/monacogate-prince-albert-ii-s-former-trusted-adviser-tells-police-everything_6742216_7.html,Premium,Fabrice Lhomme and  Gérard Davet,Investigation,N/A
"In Ukraine, the high stakes of documenting the war","Since Russia's invasion of Ukraine, hundreds of projects have been launched to record the conflict, as well as Ukraine's history and heritage. Many of these initiatives focus on documenting war crimes committed by the Russian army, to be used as evidence in legal proceedings.",https://www.lemonde.fr/en/international/article/2025/06/11/in-ukraine-the-high-stakes-of-documenting-the-war_6742226_4.html,Premium,Rémy Ourdan,Feature,N/A
Will Macronism outlive Macron?,Government spokesperson Sophie Primas inadvertently sparked a debate about the legacy of the French president when she referred to the 'end of Macronism' at the end of May.,https://www.lemonde.fr/en/politics/article/2025/06/11/will-macronism-outlive-macron_6742230_5.html,Premium,Nathalie Segaunes,In Depth,N/A
Macron's outburst on environmental issues,N/A,https://www.lemonde.fr/en/opinion/article/2025/06/11/macron-s-outburst-on-environmental-issues_6742235_23.html,not Premium,N/A,N/A,N/A
The shadow of Israeli colonization over the Gaza Strip,N/A,https://www.lemonde.fr/en/opinion/article/2025/06/11/the-shadow-of-israeli-colonization-over-the-gaza-strip_6742247_23.html,Premium,N/A,N/A,N/A
Los Angeles: Donald Trump's calculated escalation,N/A,https://www.lemonde.fr/en/opinion/article/2025/06/10/los-angeles-donald-trump-s-calculated-escalation_6742196_23.html,not Premium,N/A,N/A,N/A
